-1234, -539, 201
-1359, -660, 355
-1457, -746, 459
-1457, -746, 459
-1432, -728, 532
-1326, -616, 518
-1177, -491, 576
-1003, -354, 657
-805, -239, 686
-620, -152, 640
-463, -98, 562
-345, -80, 523
-212, 5, 489
-139, -15, 438
-73, 17, 310
-73, 17, 310
-72, -96, 300
-116, -154, 238
-192, -204, 75
-268, -328, -125
-407, -473, -260
-609, -527, -241
-877, -496, -339
-1145, -544, -395
-1328, -674, -366
-1480, -869, -243
-1553, -973, -227
-1562, -948, -305
-1506, -884, -248
-,-,-
-914, -489, 334
-1007, -562, 377
-1072, -495, 170
-1157, -420, 32
-1246, -472, 207
-1325, -599, 397
-1391, -650, 509
-1391, -650, 509
-1360, -616, 596
-1274, -559, 639
-1127, -496, 711
-937, -447, 747
-768, -373, 652
-617, -312, 570
-467, -265, 508
-375, -230, 478
-208, -122, 335
-133, -135, 170
-91, -162, 48
-69, -176, -121
-55, -149, -214
-96, -127, -284
-96, -127, -284
-219, -88, -340
-446, -73, -440
-715, -161, -450
-1026, -536, -330
-1377, -986, -164
-1641, -1182, -219
-1778, -1264, -162
-,-,-
-992, -429, 328
-1075, -465, 350
-1150, -515, 312
-1293, -536, 273
-1410, -608, 393
-1456, -649, 460
-1423, -675, 622
-1282, -564, 712
-1085, -437, 734
-855, -316, 713
-637, -205, 636
-453, -117, 541
-260, -37, 467
-260, -37, 467
-101, -5, 342
-55, -50, 209
-60, -108, 141
-108, -141, 74
-166, -136, 33
-229, -117, -55
-229, -117, -55
-328, -117, -195
-434, -155, -264
-588, -261, -288
-813, -409, -376
-1052, -584, -428
-1285, -786, -462
-1483, -950, -387
-1605, -1080, -263
-,-,-
-993, -380, 163
-1075, -416, 126
-1230, -529, 286
-1378, -610, 382
-1474, -678, 487
-1471, -705, 607
-1403, -651, 703
-1266, -543, 829
-1075, -428, 806
-868, -306, 735
-660, -214, 725
-432, -127, 638
-261, -168, 563
-54, -152, 320
-54, -152, 320
38, -195, 175
70, -220, 59
54, -203, -15
-15, -116, -151
-137, -88, -236
-316, -98, -285
-316, -98, -285
-531, -176, -269
-810, -317, -190
-1108, -459, -279
-1408, -726, -284
-1620, -911, -235
-1694, -994, -266
-1695, -1007, -265
-1598, -926, -74
-,-,-
-1077, -489, 461
-1137, -461, 434
-1238, -450, 393
-1314, -502, 532
-1340, -571, 660
-1276, -588, 802
-1123, -496, 920
-919, -370, 889
-919, -370, 889
-699, -250, 804
-488, -165, 710
-330, -111, 562
-152, -140, 399
-86, -154, 297
-30, -132, 156
-15, -96, 44
-22, -46, -86
-22, -46, -86
-47, -27, -180
-106, -57, -269
-239, -70, -411
-414, -91, -449
-698, -186, -418
-1093, -570, -285
-1500, -966, -81
-1771, -1119, -73
-,-,-
-986, -358, 341
-1058, -386, 329
-1155, -367, 234
-1254, -397, 233
-1315, -468, 313
-1350, -541, 424
-1348, -539, 513
-1241, -466, 616
-1048, -369, 691
-849, -300, 753
-677, -247, 726
-524, -198, 611
-388, -132, 497
-294, -89, 458
-222, -80, 363
-222, -80, 363
-235, -122, 264
-257, -157, 129
-251, -138, -25
-262, -107, -93
-328, -144, -121
-482, -169, -236
-721, -312, -401
-990, -520, -477
-1286, -712, -368
-1532, -807, -255
-1658, -831, -114
-1676, -855, 13
-1592, -829, 74
-,-,-
-1037, -301, 212
-1127, -309, 177
-1256, -422, 310
-1351, -505, 449
-1419, -595, 523
-1422, -650, 558
-1321, -594, 660
-1164, -474, 730
-991, -369, 710
-789, -295, 721
-789, -295, 721
-580, -228, 680
-374, -153, 586
-175, -85, 563
-5, -20, 454
94, -71, 361
160, -119, 220
197, -46, -47
197, -46, -47
53, 77, -370
-219, 99, -618
-552, -47, -640
-979, -527, -464
-1411, -1009, -345
-1684, -1227, -440
-1794, -1293, -300
-1711, -1091, -212
-,-,-
-1061, -390, 108
-1125, -452, 212
-1217, -517, 319
-1290, -504, 389
-1353, -486, 350
-1351, -523, 340
-1290, -567, 467
-1179, -535, 537
-1037, -433, 610
-918, -311, 594
-797, -225, 581
-671, -170, 587
-535, -149, 640
-400, -112, 591
-301, -82, 491
-208, -101, 244
-203, -200, 149
-189, -298, 90
-189, -298, 90
-175, -302, -1
-156, -189, -103
-196, -54, -277
-334, 0, -549
-580, -137, -649
-912, -503, -573
-1257, -854, -446
-1489, -945, -410
-1586, -919, -233
-1591, -859, -45
-1539, -812, 61
-,-,-
-1366, -377, 282
-1366, -377, 282
-1537, -536, 489
-1592, -636, 507
-1510, -712, 616
-1294, -616, 790
-1031, -439, 891
-773, -307, 881
-555, -223, 778
-371, -120, 671
-251, -88, 645
-99, -13, 491
-5, 0, 441
-5, 0, 441
28, 5, 299
-12, -34, 167
-119, -65, -54
-119, -65, -54
-236, -152, -203
-360, -245, -320
-496, -249, -379
-675, -237, -416
-928, -352, -336
-1139, -557, -382
-1371, -824, -234
-1521, -889, -139
-1611, -856, -114
-1634, -810, -50
-1583, -767, 10
-,-,-
-1188, -441, 197
-1272, -521, 292
-1376, -549, 269
-1413, -577, 309
-1384, -584, 413
-1305, -561, 531
-1183, -494, 638
-1035, -398, 673
-876, -304, 657
-716, -235, 606
-570, -212, 599
-418, -166, 583
-328, -145, 433
-222, -112, 280
-175, -179, 251
-175, -179, 251
-163, -199, 141
-193, -185, -9
-239, -120, -192
-297, -91, -307
-383, -98, -401
-522, -169, -353
-673, -161, -315
-869, -216, -296
-1101, -408, -200
-1365, -689, -28
-1543, -866, -20
-1649, -1022, 74
-,-,-
-1042, -372, 352
-1090, -364, 290
-1132, -412, 353
-1172, -442, 382
-1174, -493, 395
-1146, -507, 419
-1108, -472, 446
-1057, -439, 582
-1007, -416, 681
-937, -357, 659
-858, -313, 631
-858, -313, 631
-763, -265, 622
-656, -220, 631
-535, -172, 652
-429, -80, 632
-304, 19, 435
-232, 18, 322
-190, -24, 192
-212, -101, 18
-212, -101, 18
-273, -192, -138
-357, -256, -276
-468, -321, -371
-627, -393, -390
-810, -446, -384
-1044, -564, -296
-1297, -688, -234
-1509, -837, -111
-1651, -980, 11
-,-,-
-982, -389, 341
-1010, -370, 255
-1126, -382, 254
-1231, -437, 314
-1295, -510, 423
-1341, -577, 576
-1323, -579, 693
-1254, -545, 704
-1131, -461, 684
-964, -384, 676
-776, -304, 658
-602, -227, 609
-473, -157, 571
-285, -69, 357
-285, -69, 357
-214, -69, 222
-149, -112, 93
-73, -159, 27
-37, -139, -84
-107, -88, -238
